processed_tweets,class,neutralized_tweets
rt if u know how to french inhale ur a bad bitch,1,rt if u know how to french inhale ur a bad person
when women are so proud that they don t like to cook amp clean bitch stop being lazy it s not cute,1,when women are so proud that they don t like to cook amp clean person stop being lazy it s not cute
rt if you ve been though what i ve been through you would have turned into a heartless bitch by now but i m stronger amp bet,1,rt if you ve been though what i ve been through you would have turned into a heartless person by now but i m stronger amp bet
rt do i fuck her or feed her i hate fat thick bitches,1,rt do i messing around her or feed her i hate fat thick person
bitches be half naked in their avi s talking about i don t send nudes,1,person be half naked in their avi s talking about i don t send nudes
girls be looking for reasons to do hoe shit,1,girls be looking for reasons to do people stuff
i would wife a hoe only cuz we wouldn t care that we cheating in each other why force the relationship in the first place,1,i would wife a people only cuz we wouldn t care that we cheating in each other why force the relationship in the first place
rt i did use to buy tees n wear both dem bitches at the same time lame ass lol,1,rt i did use to buy tees n wear both dem person at the same time lame person lol
ohhhhh yes bitch yesss u ready t,1,ohhhhh yes person yesss u ready t
rt fucking faggots they thirsty for eachother they probably fuck behind redemption,1,rt messing around faggots they thirsty for eachother they probably messing around behind redemption
bout to smoke a n dis bitch pollution,1,bout to smoke a n dis person pollution
so many bitches you gon need to change ya name from jebidiah to bitches,1,so many person you gon need to change ya name from jebidiah to person
porn android iphone ipad sex xxx hairy hairy pussy,1,porn android iphone ipad sex xxx hairy hairy pussy
i get gwop now that bitch remember me,1,i get gwop now that person remember me
flo is a bad bitch,1,flo is a bad person
kik is for hoes you either gone shit or get off the pot,1,kik is for people you either gone stuff or get off the pot
whatchu gon do bout it bitch,1,whatchu gon do bout it person
pussy causes wars,1,pussy causes wars
rt if i can eat some random bitches ass i can eat iggy s ass randomthought randomthot shitiwouldneverdo,1,rt if i can eat some random person person i can eat iggy s person randomthought randomthot shitiwouldneverdo
rt if i can take your bitch was she ever really yours,1,rt if i can take your person was she ever really yours
fucking thirsty bitches,1,messing around thirsty person
i know hoe,1,i know people
when mfs tell you who you talk to and it ain t true like no bitch,1,when mfs tell you who you talk to and it ain t true like no person
me and da gonna do a reboot of da jeffersons only dis time he gonna be weezy and we married pre op trannies,1,me and da gonna do a reboot of da jeffersons only dis time he gonna be weezy and we married pre op trannies
fuck you bitch i have to fucking piss i take seconds you take fucking minutes,1,messing around you person i have to messing around piss i take seconds you take messing around minutes
faggot,0,person
if my bf posts a pic of my daughter just like it and keep scrolling your comments aren t necessary yes bitch i know she s cute,1,if my bf posts a pic of my daughter just like it and keep scrolling your comments aren t necessary yes person i know she s cute
kawasaki dating a faggot smh,1,kawasaki dating a person smh
when a girl asks me if i eat pussy at first i don t even cause that s just a stupid question in itself,1,when a girl asks me if i eat pussy at first i don t even cause that s just a stupid question in itself
if she hates being kissed in the mouth she a hoe tell me different,1,if she hates being kissed in the mouth she a people tell me different
idk how i have friends i m so blunt and sarcastic people probably think i m a raging bitch,1,idk how i have friends i m so blunt and sarcastic people probably think i m a raging person
i wish a nigguh would try this clown shit in w o h s,1,i wish a nigguh would try this clown stuff in w o h s
i bet u john elway gets way more pussy than john dorsey,1,i bet u john elway gets way more pussy than john dorsey
rt nah these bitches up harbor city,1,rt nah these person up harbor city
nah bitch you like pookie from new jack city,1,nah person you like pookie from new jack city
yo that nigga at usc was lying had y all bitches calling him ya mcm and all how do u feel ok back to you bob,1,yo that person at usc was lying had y all person calling him ya mcm and all how do u feel ok back to you bob
dis hoe got uh dinguling nose,1,dis people got uh dinguling nose
rt pull up on my ex make that bitch mad,1,rt pull up on my ex make that person mad
coke and white bitches,1,coke and white person
fuck u niggas gonna do not a mfka thing oh bitch ass wack ass nigga y all some fake ass people,0,messing around u person gonna do not a mfka thing oh person person wack person person y all some fake person people
rt when someone s phone goes off in the cinema i want to jump across the seats and fly kick dat bitch,1,rt when someone s phone goes off in the cinema i want to jump across the seats and fly kick dat person
this bitch is not only an idiot but a troll spamblocked so keep spewing ur shit,1,this person is not only an idiot but a troll spamblocked so keep spewing ur stuff
hey faggot spell faggot right you dipshit,1,hey person spell person right you dipshit
ima spread that pussy out like a acre,1,ima spread that pussy out like a acre
you wanna know some crazy shit without the sunshine you could find a shady bitch,1,you wanna know some crazy stuff without the sunshine you could find a shady person
